0.05_1,0.05_2,0.05_3,0.05_4,0.05_5,neg_0.05_1,neg_0.05_2,neg_0.05_3,0_1,0_2,0_3,0_4
0.885075803,0.425527662,0.600688529,0.654379369,0.574583337,0.130872688,0.07357562,0.537862412,0.023175241,0.09452456,0.207187346,0.322382107
0.895160739,0.431722415,0.611536345,0.659419621,0.582663013,0.142602511,0.080115834,0.551543944,0.023908779,0.095338121,0.210813181,0.330846709
0.905290237,0.438380789,0.622680792,0.664659371,0.591978891,0.155516913,0.08744432,0.565418452,0.024638589,0.096218618,0.21457546,0.33945507
0.915428965,0.445499505,0.634052971,0.670100064,0.602494395,0.169667084,0.095580502,0.57945615,0.025360046,0.097195007,0.218578085,0.348259446
0.925561864,0.453052913,0.645595363,0.675729497,0.614137119,0.185086946,0.104536498,0.593626965,0.026071014,0.098297696,0.222862089,0.357274334
0.935738149,0.461007626,0.657255881,0.68151597,0.626807527,0.201765572,0.114332012,0.607917162,0.026769758,0.09954728,0.227422289,0.366439558
0.946091241,0.469350615,0.668983379,0.687436589,0.640370343,0.219669524,0.12497258,0.622318292,0.027455058,0.100950909,0.232235042,0.375754908
0.956735688,0.478082216,0.680721239,0.693518111,0.654685907,0.238750858,0.136444901,0.636796896,0.02812612,0.102513675,0.237305534,0.385333119
0.967613005,0.487232882,0.692411616,0.699766127,0.669607978,0.258958394,0.148735127,0.65128288,0.028767039,0.104240453,0.242719156,0.395234289
0.978506336,0.49683964,0.703985199,0.70615082,0.684961919,0.280233046,0.16183345,0.665707631,0.029356651,0.106152357,0.24855335,0.40542959
0.98922062,0.506896898,0.715359368,0.712636375,0.700592779,0.302495793,0.175720138,0.680037475,0.02989083,0.108287798,0.254840596,0.415892087
0.999711393,0.517390884,0.726460011,0.719164265,0.71638293,0.325655787,0.190367558,0.694254671,0.030389893,0.110669684,0.261559302,0.426672669
1.010038095,0.528310348,0.737234512,0.725698967,0.732269085,0.349612697,0.205752069,0.708365549,0.030895839,0.113293625,0.268644013,0.437808402
1.020247168,0.539615877,0.747638833,0.732258215,0.748194209,0.374247372,0.221852473,0.722402773,0.031442415,0.116141955,0.276043207,0.449275369
